Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=20, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=20, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
27a2897d-67b3-4d00-a197-85d8996148fd
Epoch 6 | Batch 35/58 | Loss 9.1431 | Rotate Loss 0.6079 | Accuracy 1.932367/1.720908 | Rotate Accuracy 72.6449 | Time 14.1415
Epoch 6 | Batch 40/58 | Loss 9.1913 | Rotate Loss 0.6392 | Accuracy 1.997172/1.708575 | Rotate Accuracy 71.7922 | Time 14.0707
Epoch 6 | Batch 45/58 | Loss 9.2171 | Rotate Loss 0.6638 | Accuracy 2.016383/1.732032 | Rotate Accuracy 70.9830 | Time 14.2357
Epoch 6 | Batch 50/58 | Loss 9.2404 | Rotate Loss 0.6788 | Accuracy 1.974993/1.733698 | Rotate Accuracy 70.4888 | Time 14.1354
Epoch 6 | Batch 55/58 | Loss 9.2537 | Rotate Loss 0.6835 | Accuracy 1.979814/1.726566 | Rotate Accuracy 70.3804 | Time 14.0661
Epoch 6 : Accuracy 1.450000, Rotate Accuracy 70.262500, Time 1619.395631
Epoch 7 | Batch 0/58 | Loss 9.5689 | Rotate Loss 0.6222 | Accuracy 4.347826/0.814919 | Rotate Accuracy 72.4638 | Time 14.1842
Epoch 7 | Batch 5/58 | Loss 9.3605 | Rotate Loss 0.6079 | Accuracy 2.415459/1.543839 | Rotate Accuracy 70.2899 | Time 14.1224
Epoch 7 | Batch 10/58 | Loss 9.1872 | Rotate Loss 0.5432 | Accuracy 2.371542/1.615382 | Rotate Accuracy 72.2661 | Time 14.0819
Epoch 7 | Batch 15/58 | Loss 9.1695 | Rotate Loss 0.5294 | Accuracy 1.992754/1.544095 | Rotate Accuracy 72.3279 | Time 14.1491
Epoch 7 | Batch 20/58 | Loss 9.1591 | Rotate Loss 0.5297 | Accuracy 1.828847/1.531086 | Rotate Accuracy 72.4983 | Time 14.0848
Epoch 7 | Batch 25/58 | Loss 9.2018 | Rotate Loss 0.5397 | Accuracy 1.783724/1.658108 | Rotate Accuracy 72.2129 | Time 14.2060
Epoch 7 | Batch 30/58 | Loss 9.2114 | Rotate Loss 0.5603 | Accuracy 1.776531/1.746902 | Rotate Accuracy 71.8560 | Time 14.0906
Epoch 7 | Batch 35/58 | Loss 9.2137 | Rotate Loss 0.5635 | Accuracy 1.650564/1.716552 | Rotate Accuracy 71.7794 | Time 14.1745
Epoch 7 | Batch 40/58 | Loss 9.2387 | Rotate Loss 0.5705 | Accuracy 1.572994/1.757433 | Rotate Accuracy 71.8982 | Time 14.1065
Epoch 7 | Batch 45/58 | Loss 9.2272 | Rotate Loss 0.5666 | Accuracy 1.638311/1.699210 | Rotate Accuracy 72.0699 | Time 14.2110
Epoch 7 | Batch 50/58 | Loss 9.1921 | Rotate Loss 0.5582 | Accuracy 1.577153/1.616226 | Rotate Accuracy 72.4780 | Time 14.1524
Epoch 7 | Batch 55/58 | Loss 9.1453 | Rotate Loss 0.5519 | Accuracy 1.591615/1.617478 | Rotate Accuracy 72.6061 | Time 14.0715
Epoch 7 : Accuracy 1.700000, Rotate Accuracy 73.487500, Time 1613.835913
Epoch 8 | Batch 0/58 | Loss 8.6514 | Rotate Loss 0.3963 | Accuracy 0.724638/2.020910 | Rotate Accuracy 77.5362 | Time 14.2452
Epoch 8 | Batch 5/58 | Loss 8.6536 | Rotate Loss 0.4911 | Accuracy 1.690821/1.903436 | Rotate Accuracy 73.0676 | Time 14.1571
Epoch 8 | Batch 10/58 | Loss 8.6713 | Rotate Loss 0.4893 | Accuracy 1.712780/1.978511 | Rotate Accuracy 73.7154 | Time 14.2003
Epoch 8 | Batch 15/58 | Loss 8.5925 | Rotate Loss 0.4882 | Accuracy 1.630435/1.851743 | Rotate Accuracy 73.3696 | Time 14.0722
Epoch 8 | Batch 20/58 | Loss 8.5907 | Rotate Loss 0.4956 | Accuracy 1.932367/1.893281 | Rotate Accuracy 73.1539 | Time 14.1671
Epoch 8 | Batch 25/58 | Loss 8.5767 | Rotate Loss 0.4919 | Accuracy 1.867336/2.056079 | Rotate Accuracy 73.0491 | Time 14.0982
Epoch 8 | Batch 30/58 | Loss 8.6569 | Rotate Loss 0.5258 | Accuracy 1.846657/1.994067 | Rotate Accuracy 72.4170 | Time 14.0335
Epoch 8 | Batch 35/58 | Loss 8.7494 | Rotate Loss 0.5612 | Accuracy 1.932367/1.961465 | Rotate Accuracy 71.9807 | Time 14.0676
Epoch 8 | Batch 40/58 | Loss 8.8226 | Rotate Loss 0.5989 | Accuracy 1.944150/1.836004 | Rotate Accuracy 71.2796 | Time 14.1750
Epoch 8 | Batch 45/58 | Loss 8.8701 | Rotate Loss 0.6121 | Accuracy 1.874606/1.822594 | Rotate Accuracy 70.8097 | Time 14.0512
Epoch 8 | Batch 50/58 | Loss 8.9369 | Rotate Loss 0.6097 | Accuracy 1.861324/1.737385 | Rotate Accuracy 71.0713 | Time 14.1386
Epoch 8 | Batch 55/58 | Loss 8.9391 | Rotate Loss 0.6102 | Accuracy 1.824534/1.747802 | Rotate Accuracy 71.2474 | Time 14.1232
Epoch 8 : Accuracy 1.800000, Rotate Accuracy 70.925000, Time 1612.609194
Epoch 9 | Batch 0/58 | Loss 9.0252 | Rotate Loss 0.6896 | Accuracy 4.347826/2.173913 | Rotate Accuracy 68.8406 | Time 14.3268
Epoch 9 | Batch 5/58 | Loss 8.5201 | Rotate Loss 0.5735 | Accuracy 2.657005/2.058969 | Rotate Accuracy 73.1884 | Time 14.1606
Epoch 9 | Batch 10/58 | Loss 8.5433 | Rotate Loss 0.5350 | Accuracy 2.108037/1.811877 | Rotate Accuracy 73.9130 | Time 14.0699
Epoch 9 | Batch 15/58 | Loss 8.6943 | Rotate Loss 0.5132 | Accuracy 1.947464/1.852982 | Rotate Accuracy 73.8678 | Time 14.1797
Epoch 9 | Batch 20/58 | Loss 8.9346 | Rotate Loss 0.5757 | Accuracy 2.001380/1.756652 | Rotate Accuracy 72.1877 | Time 14.0354
Epoch 9 | Batch 25/58 | Loss 9.1160 | Rotate Loss 0.7242 | Accuracy 1.839465/1.623981 | Rotate Accuracy 70.5407 | Time 14.1710
Epoch 9 | Batch 30/58 | Loss 9.2297 | Rotate Loss 0.7202 | Accuracy 1.776531/1.682022 | Rotate Accuracy 70.2197 | Time 14.0453
Epoch 9 | Batch 35/58 | Loss 9.3249 | Rotate Loss 0.6995 | Accuracy 1.871981/1.721893 | Rotate Accuracy 70.5717 | Time 14.0369
Epoch 9 | Batch 40/58 | Loss 9.2751 | Rotate Loss 0.6816 | Accuracy 1.873454/1.720463 | Rotate Accuracy 70.8378 | Time 14.1671
