Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Start Training
Epoch   Loss           Accuracy  S_Conv1   S_Conv2   S_Class   Time
0297    000008.3066    0.2500    0.2183    0.5532    0.9664    24.0839
0298    000008.3098    0.2500    0.2182    0.5518    0.9667    24.1993
0299    000008.3177    0.2500    0.2161    0.5535    0.9667    24.3388
0300    000008.3177    0.2500    0.2180    0.5529    0.9667    24.0054
0301    000008.3138    0.2500    0.2173    0.5458    0.9667    24.2492
0302    000008.3177    0.2500    0.2141    0.5479    0.9667    24.1420
0303    000008.3098    0.2500    0.2136    0.5487    0.9667    23.7772
0304    000008.3138    0.2500    0.2157    0.5477    0.9667    24.0698
0305    000008.5475    0.2500    0.2217    0.5503    0.9667    24.0052
0306    000008.3098    0.2500    0.2210    0.5505    0.9667    23.8900
0307    000008.3138    0.2500    0.2206    0.5518    0.9667    24.7887
0308    000008.3138    0.2500    0.2227    0.5507    0.9667    24.4318
0309    000008.3177    0.2500    0.2205    0.5514    0.9667    24.1445
0310    000008.3177    0.2500    0.2187    0.5527    0.9667    24.0155
0311    000008.3138    0.2500    0.2215    0.5506    0.9667    24.1483
0312    000008.3144    0.2500    0.2176    0.5514    0.9667    24.2208
0313    000008.3098    0.2500    0.2211    0.5491    0.9667    24.1348
0314    000008.3177    0.2500    0.2186    0.5506    0.9667    24.6382
0315    000008.3098    0.2500    0.2205    0.5498    0.9667    24.1559
0316    000008.3098    0.2525    0.2215    0.5506    0.9667    24.0953
0317    000008.3138    0.2500    0.2211    0.5506    0.9667    24.1362
0318    000008.3177    0.2500    0.2197    0.5508    0.9667    24.3582
0319    000008.3177    0.2500    0.2185    0.5512    0.9667    24.0173
0320    000008.3138    0.2500    0.2197    0.5508    0.9667    24.1323
0321    000008.3138    0.2500    0.2182    0.5521    0.9667    24.3028
0322    000008.3138    0.2500    0.2191    0.5512    0.9667    23.8297
0323    000008.3177    0.2500    0.2177    0.5522    0.9667    24.2378
0324    000008.3177    0.2500    0.2183    0.5518    0.9667    24.1569
0325    000008.3177    0.2500    0.2192    0.5512    0.9667    24.2101
0326    000008.3138    0.2500    0.2182    0.5518    0.9667    24.1433
0327    000008.3177    0.2500    0.2181    0.5520    0.9667    24.2750
0328    000008.3177    0.2500    0.2184    0.5521    0.9667    24.6967
0329    000008.3026    0.2500    0.2180    0.5525    0.9656    24.3613
0330    000008.3138    0.2500    0.2179    0.5526    0.9667    24.1847
0331    000008.7403    0.2500    0.2141    0.5481    0.9667    24.6605
0332    000008.3177    0.2500    0.2144    0.5478    0.9667    24.1007
0333    000008.3138    0.2500    0.2156    0.5468    0.9667    24.0001
0334    000008.7959    0.2500    0.2166    0.5485    0.9667    24.5072
0335    000008.3177    0.2500    0.2136    0.5482    0.9667    24.0289
0336    000009.5784    0.2500    0.2162    0.5493    0.9653    24.2617
0337    000008.3177    0.2500    0.2154    0.5495    0.9667    24.1139
0338    000008.3177    0.2500    0.2137    0.5505    0.9667    24.2269
0339    000008.3138    0.2500    0.2151    0.5495    0.9667    24.0724
0340    000008.3138    0.2500    0.2148    0.5502    0.9667    24.2101
0341    000008.4486    0.2500    0.2146    0.5471    0.9667    24.6030
0342    000008.3421    0.2500    0.2146    0.5470    0.9667    24.1968
0343    000008.3024    0.2500    0.2162    0.5472    0.9667    24.3159
0344    000008.3177    0.2500    0.2160    0.5472    0.9667    24.2347
0345    000008.3106    0.2500    0.2180    0.5486    0.9656    24.1350
0346    000008.3035    0.2500    0.2195    0.5499    0.9655    24.2056
0347    000008.3138    0.2500    0.2188    0.5496    0.9667    24.2734
0348    000008.3381    0.2500    0.2191    0.5491    0.9667    24.0379
0349    000008.6816    0.2500    0.2199    0.5484    0.9664    24.4549
0350    000008.3066    0.2500    0.2155    0.5551    0.9658    24.0221
0351    000008.3177    0.2500    0.2179    0.5550    0.9667    24.6589
0352    000008.4407    0.2500    0.2192    0.5498    0.9667    24.1225
0353    000008.3138    0.2500    0.2170    0.5495    0.9667    24.2168
0354    000008.5915    0.2500    0.2163    0.5499    0.9667    24.6824
0355    000008.3253    0.2500    0.2174    0.5501    0.9667    24.1013
0356    000008.3177    0.2500    0.2172    0.5509    0.9667    24.1972
0357    000008.3026    0.2500    0.2153    0.5512    0.9661    24.1345
0358    000008.3138    0.2500    0.2192    0.5501    0.9667    23.9064
0359    000008.3114    0.2500    0.2158    0.5502    0.9667    24.0357
0360    000008.3154    0.2500    0.2173    0.5499    0.9667    23.8920
0361    000008.3138    0.2500    0.2179    0.5480    0.9667    24.0145
0362    000008.3098    0.2500    0.2182    0.5488    0.9667    24.5057
0363    000008.3177    0.2500    0.2172    0.5474    0.9667    23.9864
0364    000008.3177    0.2500    0.2156    0.5491    0.9667    23.9693
0365    000008.3177    0.2500    0.2178    0.5476    0.9667    24.1552
0366    000008.3177    0.2500    0.2178    0.5484    0.9667    23.8741
0367    000008.3064    0.2500    0.2159    0.5490    0.9667    24.3409
0368    000008.6888    0.2500    0.2154    0.5483    0.9667    23.9607
0369    000008.3177    0.2500    0.2156    0.5494    0.9667    24.0453
0370    000008.3138    0.2500    0.2151    0.5493    0.9667    24.0865
0371    000008.3138    0.2500    0.2164    0.5484    0.9667    24.2651
0372    000008.5221    0.2500    0.2178    0.5488    0.9667    24.2315
0373    000008.3138    0.2500    0.2157    0.5507    0.9667    24.4501
0374    000008.3177    0.2500    0.2169    0.5490    0.9667    24.1145
0375    000008.3138    0.2500    0.2174    0.5486    0.9667    24.2156
0376    000008.4316    0.2475    0.2163    0.5500    0.9666    24.2369
